filename,k,num_detected,iou,precision,recall,f1,processing_time_s
coin_001.jpg,2,3,0.7466522135709281,0.7527169748459104,0.9893241550843821,0.8549523571661028,0.4846
coin_001.jpg,3,1,0.3071462974273975,0.3071735725779976,0.9997109902524894,0.46994938214933396,0.4965
coin_001.jpg,4,1,0.29746355571188493,0.2974751817400141,0.9998686319329497,0.45853088420456534,0.6284
coin_001.jpg,5,1,0.29746355571188493,0.2974751817400141,0.9998686319329497,0.45853088420456534,1.1291
coin_001.jpg,6,1,0.28500498011697656,0.28501351786530066,0.9998949055463597,0.44358579854069047,0.8603
coin_002.jpg,2,1,0.1936752018772862,0.19386359302849343,0.9950075170907441,0.3245023463211673,0.2554
coin_002.jpg,3,1,0.19061855418617069,0.19071108194445197,0.9974612089751227,0.3202008796452279,0.6823
coin_002.jpg,4,1,0.1856666693057392,0.18574166772272208,0.9978299719172836,0.31318527223921255,0.6807
coin_002.jpg,5,3,0.1734343621018912,0.1734865159981563,0.9982696508098602,0.2956013011093868,0.8037
coin_002.jpg,6,1,0.17044590491042672,0.17049503559498982,0.9983122003801095,0.2912495215632726,0.8628
coin_006.jpg,2,7,0.004529332586632083,0.005427328541743927,0.026645088576135015,0.00901782046517087,0.4387
coin_006.jpg,3,12,0.044305715935334875,0.0481877587864754,0.354824726179811,0.08485200312372582,0.5937
coin_006.jpg,4,17,0.03274577415543392,0.03526940645198991,0.3139612172354998,0.06341497583413107,0.6814
coin_006.jpg,5,18,0.030687047483989795,0.03289296387920776,0.3139323180071092,0.05954678009954613,0.7436
coin_006.jpg,6,18,0.0334836485704118,0.03556087063210237,0.3643614715487096,0.06479763587305666,0.8184
coin_010.jpg,2,1,0.8432528929835188,0.8439658610512882,0.9989991880204694,0.9149616921187803,0.253
coin_010.jpg,3,3,0.19861679731915358,0.1986384141352729,0.9994523858979927,0.3314100015340737,0.4088
coin_010.jpg,4,7,0.16088568736512568,0.1608974242065012,0.9995468021224767,0.27717748459848723,0.5222
coin_010.jpg,5,3,0.13256336236789856,0.13256668143886188,0.9998111675510319,0.23409438583770303,0.7564
coin_010.jpg,6,9,0.14782781116646931,0.14783772008222362,0.9995468021224767,0.25757837495894215,0.8469
coin_012.jpg,2,1,0.6832030180775227,0.7679881739921472,0.8608886689460741,0.8117892027758432,0.3809
coin_012.jpg,3,1,0.23472698922566174,0.25445159587427923,0.7517395477175934,0.3802087283649106,0.47
coin_012.jpg,4,1,0.27260273016744313,0.2832532971136208,0.8787865155059684,0.4284176415865072,0.4804
coin_012.jpg,5,1,0.23921934389560437,0.24814846525964296,0.8692489952612321,0.38608071294884,0.7475
coin_012.jpg,6,1,0.24927840189380568,0.25637110328523194,0.9001034730969948,0.39907582091536953,0.7564
coin_017.jpg,2,3,0.7916084671600442,0.8121402614265243,0.9690520051013178,0.8836846684642621,0.2653
coin_017.jpg,3,1,0.3728750141195075,0.3731661220524596,0.9979122384393746,0.5432031470958785,0.5227
coin_017.jpg,4,2,0.3567345257350086,0.3569840443864759,0.9980444948278305,0.5258722601486805,0.7469
coin_017.jpg,5,5,0.267581965657307,0.26766596373265555,0.9988285862736762,0.4221927621359805,0.6739
coin_017.jpg,6,5,0.26751155629884704,0.2675955101679258,0.9988285862736762,0.4221051160748149,0.9215
coin_018.jpg,2,3,0.2678848017200529,0.2737779865917346,0.9256231671554253,0.4225696236071792,0.4219
coin_018.jpg,3,6,0.14477927922478556,0.15291986005729574,0.731158357771261,0.2529383294268329,0.5583
coin_018.jpg,4,1,0.15058921599081476,0.1521579346759423,0.9359237536656891,0.2617601727844056,0.7235
coin_018.jpg,5,1,0.15119396350068817,0.15236375587368783,0.9516739980449658,0.2626733083987332,0.6395
coin_018.jpg,6,1,0.141862709947875,0.1430947956424494,0.9427785923753665,0.24847594848657575,1.5797
coin_022.jpg,2,7,0.5460471627947675,0.6117987304232739,0.8355481171548117,0.7063784028524535,0.625
coin_022.jpg,3,6,0.4125494574847683,0.4220692463953829,0.9481617852161786,0.5841203722797322,0.7629
coin_022.jpg,4,6,0.34476159914845655,0.34683280185819454,0.9829735006973501,0.5127475373579524,1.0139
coin_022.jpg,5,5,0.24237590444375856,0.24296588357702206,0.9900808926080893,0.39018127054271234,1.9053
coin_022.jpg,6,3,0.23059819735577547,0.23110664518161206,0.9905495118549512,0.374774151061279,1.1686
