filename,method,num_detected,total_area_px,total_perimeter_px,processing_time_s,mask_path,viz_path
coin_015.jpg,thresholding,2,56728.5,1429.775816321373,0.0153,results\masks\thresholding\coin_015_mask.png,results\viz\thresholding\coin_015_viz.png
coin_015.jpg,region_growing,2,48690.5,1428.1778333187103,0.1372,results\masks\region_growing\coin_015_mask.png,results\viz\region_growing\coin_015_viz.png
coin_015.jpg,kmeans,2,53234.5,1413.775816321373,0.436,results\masks\kmeans\coin_015_mask.png,results\viz\kmeans\coin_015_viz.png
coin_016.jpg,thresholding,3,288665.0,5773.462441325188,0.0146,results\masks\thresholding\coin_016_mask.png,results\viz\thresholding\coin_016_viz.png
coin_016.jpg,region_growing,3,90478.0,3899.301850795746,0.2635,results\masks\region_growing\coin_016_mask.png,results\viz\region_growing\coin_016_viz.png
coin_016.jpg,kmeans,6,149658.0,5225.084806203842,0.5033,results\masks\kmeans\coin_016_mask.png,results\viz\kmeans\coin_016_viz.png
coin_017.jpg,thresholding,3,131207.0,2970.688714146614,0.0176,results\masks\thresholding\coin_017_mask.png,results\viz\thresholding\coin_017_viz.png
coin_017.jpg,region_growing,4,45626.0,1864.7190291881561,0.1286,results\masks\region_growing\coin_017_mask.png,results\viz\region_growing\coin_017_viz.png
coin_017.jpg,kmeans,3,119038.0,3126.0268095731735,0.7664,results\masks\kmeans\coin_017_mask.png,results\viz\kmeans\coin_017_viz.png
coin_018.jpg,thresholding,3,295502.0,5816.207607746124,0.0155,results\masks\thresholding\coin_018_mask.png,results\viz\thresholding\coin_018_viz.png
coin_018.jpg,region_growing,2,100033.0,4012.0713992118835,0.2243,results\masks\region_growing\coin_018_mask.png,results\viz\region_growing\coin_018_viz.png
coin_018.jpg,kmeans,7,153902.0,5134.859406232834,0.611,results\masks\kmeans\coin_018_mask.png,results\viz\kmeans\coin_018_viz.png
coin_019.jpg,thresholding,5,145950.0,3232.9485998153687,0.0182,results\masks\thresholding\coin_019_mask.png,results\viz\thresholding\coin_019_viz.png
coin_019.jpg,region_growing,1,24875.5,592.2569208145142,0.0634,results\masks\region_growing\coin_019_mask.png,results\viz\region_growing\coin_019_viz.png
coin_019.jpg,kmeans,5,84349.5,3075.558765888214,0.7128,results\masks\kmeans\coin_019_mask.png,results\viz\kmeans\coin_019_viz.png
coin_020.jpg,thresholding,1,376162.0,4442.467489719391,0.0124,results\masks\thresholding\coin_020_mask.png,results\viz\thresholding\coin_020_viz.png
coin_020.jpg,region_growing,1,164585.0,5178.412784934044,0.3504,results\masks\region_growing\coin_020_mask.png,results\viz\region_growing\coin_020_viz.png
coin_020.jpg,kmeans,6,123160.5,4670.446069121361,0.7599,results\masks\kmeans\coin_020_mask.png,results\viz\kmeans\coin_020_viz.png
coin_021.jpg,thresholding,3,128645.5,2936.6470779180527,0.0189,results\masks\thresholding\coin_021_mask.png,results\viz\thresholding\coin_021_viz.png
coin_021.jpg,region_growing,5,51083.5,2296.2408846616745,0.133,results\masks\region_growing\coin_021_mask.png,results\viz\region_growing\coin_021_viz.png
coin_021.jpg,kmeans,3,115673.5,3162.411586046219,0.4564,results\masks\kmeans\coin_021_mask.png,results\viz\kmeans\coin_021_viz.png
coin_022.jpg,thresholding,6,147072.0,4260.619732737541,0.011,results\masks\thresholding\coin_022_mask.png,results\viz\thresholding\coin_022_viz.png
coin_022.jpg,region_growing,4,50400.0,2407.2875686883926,0.1633,results\masks\region_growing\coin_022_mask.png,results\viz\region_growing\coin_022_viz.png
coin_022.jpg,kmeans,9,70212.0,2885.669380545616,0.5133,results\masks\kmeans\coin_022_mask.png,results\viz\kmeans\coin_022_viz.png
coin_023.jpg,thresholding,6,203385.5,4218.7345180511475,0.0201,results\masks\thresholding\coin_023_mask.png,results\viz\thresholding\coin_023_viz.png
coin_023.jpg,region_growing,2,53226.0,1717.86621427536,0.1146,results\masks\region_growing\coin_023_mask.png,results\viz\region_growing\coin_023_viz.png
coin_023.jpg,kmeans,8,120843.0,5429.387524366379,0.4774,results\masks\kmeans\coin_023_mask.png,results\viz\kmeans\coin_023_viz.png
