filename,threshold,n_seeds,num_detected,iou,precision,recall,f1,processing_time_s
coin_001.jpg,5,3,2,0.11554630953928835,0.9185501653803748,0.11674242225199899,0.20715645518473913,0.0535
coin_001.jpg,10,3,3,0.34686616184654684,0.867496370047708,0.3662716866784022,0.5150714624398834,0.0887
coin_001.jpg,15,3,1,0.5525858167178828,0.8555043333947999,0.6094690102729828,0.7118264391800663,0.1743
coin_001.jpg,20,3,1,0.6255346000140223,0.8498761668889312,0.7032395365334595,0.7696355402199699,0.1982
coin_001.jpg,25,3,2,0.6401235783192742,0.8254259629937021,0.7403553944107266,0.780579691409893,0.2189
coin_001.jpg,30,3,1,0.7627116178951655,0.8180421336702779,0.9185430405577012,0.8653844567109747,0.3619
coin_002.jpg,5,1,1,0.0,0.0,0.0,0.0,0.0522
coin_002.jpg,10,1,1,0.0,0.0,0.0,0.0,0.0964
coin_002.jpg,15,1,1,0.0,0.0,0.0,0.0,0.0918
coin_002.jpg,20,1,5,0.09600851516764236,0.17145495030684843,0.1791053243695572,0.17519665922113237,0.2188
coin_002.jpg,25,1,5,0.10550435148937044,0.14194475932428322,0.2912659915468187,0.19087098363245994,0.3369
coin_002.jpg,30,1,4,0.14439990785533288,0.17619149342837548,0.4445295435849431,0.2523591742085091,0.378
coin_006.jpg,5,1,1,0.0,0.0,0.0,0.0,0.0943
coin_006.jpg,10,1,1,0.0,0.0,0.0,0.0,0.1191
coin_006.jpg,15,1,1,0.0,0.0,0.0,0.0,0.1551
coin_006.jpg,20,1,1,0.00024188098032938498,0.0003207668213894864,0.000982573765280467,0.0004836449761378103,0.2015
coin_006.jpg,25,1,2,0.0002507645259938838,0.0003179822860599668,0.0011848683640146808,0.0005014033178224421,0.2297
coin_006.jpg,30,1,1,0.0002652835827359941,0.00032633163285693354,0.0014160621911394966,0.0005304264520424125,0.3034
coin_010.jpg,5,1,0,0.0,0.0,0.0,0.0,0.0335
coin_010.jpg,10,1,1,0.7264343716128574,0.9248501300757833,0.7720037011159998,0.8415429900578416,0.0947
coin_010.jpg,15,1,1,0.8783315817583516,0.9092871029304225,0.9626867080839171,0.9352252714998531,0.1284
coin_010.jpg,20,1,1,0.9024652943992341,0.9050958471931689,0.9967898483675435,0.9487324652450148,0.1609
coin_010.jpg,25,1,1,0.8940419769803656,0.8961199803199701,0.997412995449138,0.9440571939231456,0.1501
coin_010.jpg,30,1,1,0.8861963138741217,0.887893808283626,0.9978473100817644,0.9396649832847287,0.175
coin_012.jpg,5,5,3,0.28876284074919256,0.9126036866359447,0.29697528642552934,0.44812409485879795,0.1032
coin_012.jpg,10,5,2,0.5096432814788207,0.8662033014769766,0.5531911702957231,0.675183717546284,0.1665
coin_012.jpg,15,5,2,0.5725412970068552,0.8545269069166128,0.6343725631335853,0.7281733053327366,0.2312
coin_012.jpg,20,5,2,0.5937782661422704,0.8480168412994593,0.6644922320196749,0.7451202952836178,0.2253
coin_012.jpg,25,5,1,0.6278521727714323,0.8344777043945594,0.7171660368304241,0.7713872098134176,0.284
coin_012.jpg,30,5,1,0.7098620468399102,0.8311071712967832,0.8295243236758443,0.8303149931327445,0.2593
coin_017.jpg,5,5,1,0.037882008407727555,1.0,0.037882008407727555,0.07299868019842534,0.0508
coin_017.jpg,10,5,4,0.32546791258867047,0.9325492269063037,0.33331443956355394,0.4910988934511796,0.1141
coin_017.jpg,15,5,4,0.4394429787581255,0.9159816316117694,0.457899957489018,0.6105736527851259,0.1244
coin_017.jpg,20,5,3,0.5425742400126627,0.8869546467332711,0.5828822445798498,0.7034659673925435,0.1633
coin_017.jpg,25,5,2,0.5548111152900839,0.8821500591057646,0.599225355439044,0.7136701170117011,0.2146
coin_017.jpg,30,5,2,0.5733509510066414,0.8778098673090488,0.6230787397855557,0.7288277934936349,0.1622
coin_018.jpg,5,3,4,0.0004152270822071278,0.0011558424564923453,0.0006476050830889541,0.0008301094804767647,0.1081
coin_018.jpg,10,3,3,0.0005187378986289637,0.0010234074708745373,0.001050830889540567,0.0010369378982715693,0.1966
coin_018.jpg,15,3,4,0.0007275026089748736,0.0012328149842284705,0.0017717497556207233,0.0014539474673739203,0.3066
coin_018.jpg,20,3,4,0.000980866505388168,0.0015301956317374924,0.0027248289345063537,0.0019598106981056625,0.3154
coin_018.jpg,25,3,5,0.0020062120516836633,0.0029006963864670722,0.006463831867057674,0.004004390446992922,0.3862
coin_018.jpg,30,3,4,0.03446972509263697,0.04545778220853435,0.12480449657869012,0.06664230814401106,0.4383
coin_022.jpg,5,4,1,0.00323631080607184,0.03075311815671713,0.003603905160390516,0.006451741770533716,0.063
coin_022.jpg,10,4,2,0.0533667321606496,0.24392423919982975,0.0639442119944212,0.10132602545968883,0.0788
coin_022.jpg,15,4,4,0.25638752519465746,0.5058745874587459,0.34204741980474196,0.40813446496921285,0.1446
coin_022.jpg,20,4,4,0.3308492241359255,0.5203434481412821,0.4760278940027894,0.49720016082322854,0.1802
coin_022.jpg,25,4,4,0.3274262781877517,0.48966737749247036,0.49703765690376567,0.4933249907253085,0.1758
coin_022.jpg,30,4,4,0.312230877496133,0.4539808933329281,0.4999944211994421,0.4758779614939417,0.2176
